$ ./unix_synchronized 8 4 2 6 14 15
Consumers to consume 12 buffers
Start time: Mon Apr  2 17:34:06 2012
====================
**Producer #1 started**
[PRODUCER #1] Buffer count increased 	 Count: 6
**Producer #2 started**
[PRODUCER #2] Buffer count increased 	 Count: 8
**Producer #3 started**
[PRODUCER #3] Buffer count increased 	 Count: 8
**Producer #4 started**
[PRODUCER #4] Buffer count increased 	 Count: 8
**Consumer #1 started**
[CONSUMER #1] Buffer count decreased 	 Count: 0
**Consumer #2 started**
[CONSUMER #2] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
**Producer #1 exited**
**Producer #3 exited**
[CONSUMER #1] Buffer count decreased 	 Count: 0
**Consumer #2 exited**
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #4] Buffer count increased 	 Count: 6
[PRODUCER #2] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #4] Buffer count increased 	 Count: 6
[PRODUCER #2] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #4] Buffer count increased 	 Count: 6
[PRODUCER #2] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #4] Buffer count increased 	 Count: 6
[PRODUCER #2] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #2] Buffer count increased 	 Count: 6
[PRODUCER #4] Buffer count increased 	 Count: 8
[CONSUMER #1] Buffer count decreased 	 Count: 0
[PRODUCER #4] Buffer count increased 	 Count: 6
[PRODUCER #2] Buffer count increased 	 Count: 8
**Producer #4 exited**
**Producer #2 exited**
[CONSUMER #1] Buffer count decreased 	 Count: 0
**Consumer #1 exited**
====================
End time: Mon Apr  2 17:38:06 2012
Duration: 240 seconds
